type	code	text	display_level	selectable	sort_sequence
1	3212XX	Veneer, plywood, and engineered wood product manufacturing	5	T	422
1	32191X	Millwork	6	T	430
1	32192X	Wood container and pallet manufacturing	6	T	434
1	32199X	All other wood product manufacturing	6	T	435
1	3219XX	Other wood product manufacturing	5	T	429
1	321XXX	Wood product manufacturing	4	T	417
1	322121	Paper (except newsprint) mills	7	T	443
1	322122	Newsprint mills	7	T	444
1	32212X	Paper mills	6	T	442
1	32213X	Paperboard mills	6	T	445
1	3221XX	Pulp, paper, and paperboard mills	5	T	440
1	322212	Folding paperboard box manufacturing	7	T	449
1	322215	Nonfolding sanitary food container manufacturing	7	T	452
1	32221X	Paperboard container manufacturing	6	T	447
1	32222X	Paper bag and coated and treated paper manufacturing	6	T	453
1	322232	Envelope manufacturing	7	T	462
1	32223X	Stationery product manufacturing	6	T	460
1	3222XX	Converted paper product manufacturing	5	T	446
1	322XXX	Paper manufacturing	4	T	439
1	323110	Commercial lithographic printing	6	T	470
1	323111	Commercial gravure printing	7	T	471
1	323113	Commercial screen printing	7	T	473
1	32311X	Printing	6	T	469
1	3231XX	Printing and related support activities	5	T	468
1	323XXX	Printing and related support activities	4	T	467
1	32411X	Petroleum refineries	6	T	485
1	324121	Asphalt paving mixture and block manufacturing	7	T	487
1	32412X	Asphalt paving, roofing, and saturated materials manufacturing	6	T	486
1	32419X	Other petroleum and coal products manufacturing	6	T	489
1	3241XX	Petroleum and coal products manufacturing	5	T	484
1	324XXX	Petroleum and coal products manufacturing	4	T	483
1	325132	Synthetic organic dye and pigment manufacturing	7	T	498
1	32513X	Synthetic dye and pigment manufacturing	6	T	496
1	325181	Alkalies and chlorine manufacturing	7	T	500
1	32518X	Other basic inorganic chemical manufacturing	6	T	499
1	32519X	Other basic organic chemical manufacturing	6	T	503
1	3251XX	Basic chemical manufacturing	5	T	493
1	325211	Plastics material and resin manufacturing	7	T	510
1	32521X	Resin and synthetic rubber manufacturing	6	T	509
1	3252XX	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	5	T	508
1	325312	Phosphatic fertilizer manufacturing	7	T	518
1	32531X	Fertilizer manufacturing	6	T	516
1	32532X	Pesticide and other agricultural chemical manufacturing	6	T	520
1	3253XX	Pesticide, fertilizer, and other agricultural chemical manufacturing	5	T	515
1	32551X	Paint and coating manufacturing	6	T	528
1	3255XX	Paint, coating, and adhesive manufacturing	5	T	527
1	32562X	Toilet preparation manufacturing	6	T	535
1	3256XX	Soap, cleaning compound, and toilet preparation manufacturing	5	T	530
1	325991	Custom compounding of purchased resins	7	T	540
1	325992	Photographic film, paper, plate, and chemical manufacturing	7	T	541
1	32599X	All other chemical product and preparation manufacturing	6	T	539
1	3259XX	Other chemical product and preparation manufacturing	5	T	536
1	325XXX	Chemical manufacturing	4	T	492
1	32613X	Laminated plastics plate, sheet (except packaging), and shape manufacturing	6	T	552
1	32614X	Polystyrene foam product manufacturing	6	T	553
1	32616X	Plastics bottle manufacturing	6	T	555
1	32619X	Other plastics product manufacturing	6	T	556
1	3261XX	Plastics product manufacturing	5	T	544
1	326212	Tire retreading	7	T	563
1	32621X	Tire manufacturing	6	T	561
1	3262XX	Rubber product manufacturing	5	T	560
1	326XXX	Plastics and rubber products manufacturing	4	T	543
1	32712X	Clay building material and refractories manufacturing	6	T	574
1	3271XX	Clay product and refractory manufacturing	5	T	569
1	327211	Flat glass manufacturing	7	T	582
1	327213	Glass container manufacturing	7	T	584
1	32721X	Glass and glass product manufacturing	6	T	581
1	3272XX	Glass and glass product manufacturing	5	T	580
1	32731X	Cement manufacturing	6	T	587
1	32732X	Ready-mix concrete manufacturing	6	T	588
1	327331	Concrete block and brick manufacturing	7	T	590
1	32733X	Concrete pipe, brick, and block manufacturing	6	T	589
1	32739X	Other concrete product manufacturing	6	T	592
1	3273XX	Cement and concrete product manufacturing	5	T	586
1	327991	Cut stone and stone product manufacturing	7	T	599
1	32799X	All other nonmetallic mineral product manufacturing	6	T	598
1	3279XX	Other nonmetallic mineral product manufacturing	5	T	596
1	327XXX	Nonmetallic mineral product manufacturing	4	T	568
1	331111	Iron and steel mills	7	T	606
1	33111X	Iron and steel mills and ferroalloy manufacturing	6	T	605
1	3311XX	Iron and steel mills and ferroalloy manufacturing	5	T	604
1	331221	Rolled steel shape manufacturing	7	T	611
1	33122X	Rolling and drawing of purchased steel	6	T	610
1	3312XX	Steel product manufacturing from purchased steel	5	T	608
1	331314	Secondary smelting and alloying of aluminum	7	T	617
1	331315	Aluminum sheet, plate, and foil manufacturing	7	T	618
1	331316	Aluminum extruded product manufacturing	7	T	619
1	33131X	Alumina and aluminum production and processing	6	T	614
1	3313XX	Alumina and aluminum production and processing	5	T	613
1	331492	Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)	7	T	631
1	33149X	Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying	6	T	629
1	3314XX	Nonferrous metal (except aluminum) production and processing	5	T	621
1	331511	Iron foundries	7	T	634
1	331513	Steel foundries (except investment)	7	T	636
1	33151X	Ferrous metal foundries	6	T	633
1	331521	Aluminum die-casting foundries	7	T	638
1	331522	Nonferrous (except aluminum) die-casting foundries	7	T	639
1	33152X	Nonferrous metal foundries	6	T	637
1	3315XX	Foundries	5	T	632
1	331XXX	Primary metal manufacturing	4	T	603
1	332111	Iron and steel forging	7	T	646
1	332116	Metal stamping	7	T	650
1	33211X	Forging and stamping	6	T	645
1	3321XX	Forging and stamping	5	T	644
1	332312	Fabricated structural metal manufacturing	7	T	661
1	33231X	Plate work and fabricated structural product manufacturing	6	T	659
1	332321	Metal window and door manufacturing	7	T	664
1	332322	Sheet metal work manufacturing	7	T	665
1	33232X	Ornamental and architectural metal products manufacturing	6	T	663
1	3323XX	Architectural and structural metals manufacturing	5	T	658
1	33241X	Power boiler and heat exchanger manufacturing	6	T	668
1	33242X	Metal tank (heavy gauge) manufacturing	6	T	669
1	33243X	Metal can, box, and other metal container (light gauge) manufacturing	6	T	670
1	3324XX	Boiler, tank, and shipping container manufacturing	5	T	667
1	33261X	Spring and wire product manufacturing	6	T	676
1	3326XX	Spring and wire product manufacturing	5	T	675
1	33271X	Machine shops	6	T	681
1	332721	Precision turned product manufacturing	7	T	683
1	33272X	Turned product and screw, nut, and bolt manufacturing	6	T	682
1	3327XX	Machine shops; turned product; and screw, nut, and bolt manufacturing	5	T	680
1	332812	Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers	7	T	688
1	332813	Electroplating, plating, polishing, anodizing, and coloring	7	T	689
1	33281X	Coating, engraving, heat treating, and allied activities	6	T	686
1	3328XX	Coating, engraving, heat treating, and allied activities	5	T	685
1	332911	Industrial valve manufacturing	7	T	692
1	33291X	Metal valve manufacturing	6	T	691
1	332991	Ball and roller bearing manufacturing	7	T	697
1	332992	Small arms ammunition manufacturing	7	T	698
1	332996	Fabricated pipe and pipe fitting manufacturing	7	T	702
1	33299X	All other fabricated metal product manufacturing	6	T	696
1	3329XX	Other fabricated metal product manufacturing	5	T	690
1	332XXX	Fabricated metal product manufacturing	4	T	643
1	333111	Farm machinery and equipment manufacturing	7	T	709
1	33311X	Agricultural implement manufacturing	6	T	708
1	33312X	Construction machinery manufacturing	6	T	711
1	333131	Mining machinery and equipment manufacturing	7	T	713
1	333132	Oil and gas field machinery and equipment manufacturing	7	T	714
1	33313X	Mining and oil and gas field machinery manufacturing	6	T	712
1	3331XX	Agriculture, construction, and mining machinery manufacturing	5	T	707
1	33329X	Other industrial machinery manufacturing	6	T	718
1	3332XX	Industrial machinery manufacturing	5	T	715
1	333415	Air-conditioning and warm air heating eqp. and commercial and industrial refrigeration eqp. mfg.	7	T	738
1	33341X	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	6	T	734
1	3334XX	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	5	T	733
1	33351X	Metalworking machinery manufacturing	6	T	740
1	3335XX	Metalworking machinery manufacturing	5	T	739
1	333924	Industrial truck, tractor, trailer, and stacker machinery manufacturing	7	T	763
1	33392X	Material handling equipment manufacturing	6	T	759
1	333994	Industrial process furnace and oven manufacturing	7	T	768
1	333995	Fluid power cylinder and actuator manufacturing	7	T	769
1	33399X	All other general purpose machinery manufacturing	6	T	764
1	3339XX	Other general purpose machinery manufacturing	5	T	754
1	333XXX	Machinery manufacturing	4	T	706
1	33422X	Radio and television broadcasting and wireless communications equipment manufacturing	6	T	782
1	3342XX	Communications equipment manufacturing	5	T	780
1	334416	Electronic coil, transformer, and other inductor manufacturing	7	T	793
1	33441X	Semiconductor and other electronic component manufacturing	6	T	787
1	3344XX	Semiconductor and other electronic component manufacturing	5	T	786
1	334516	Analytical laboratory instrument manufacturing	7	T	805
1	33451X	Navigational, measuring, electromedical, and control instruments manufacturing	6	T	798
1	3345XX	Navigational, measuring, electromedical, and control instruments manufacturing	5	T	797
1	334XXX	Computer and electronic product manufacturing	4	T	773
1	335121	Residential electric lighting fixture manufacturing	7	T	818
1	335122	Commercial, industrial, and institutional electric lighting fixture manufacturing	7	T	819
1	33512X	Lighting fixture manufacturing	6	T	817
1	3351XX	Electric lighting equipment manufacturing	5	T	815
1	335221	Household cooking appliance manufacturing	7	T	826
1	33522X	Major appliance manufacturing	6	T	825
1	3352XX	Household appliance manufacturing	5	T	821
1	335311	Power, distribution, and specialty transformer manufacturing	7	T	832
1	33531X	Electrical equipment manufacturing	6	T	831
1	3353XX	Electrical equipment manufacturing	5	T	830
1	335912	Primary battery manufacturing	7	T	839
1	33591X	Battery manufacturing	6	T	837
1	335991	Carbon and graphite product manufacturing	7	T	847
1	33599X	All other electrical equipment and component manufacturing	6	T	846
1	3359XX	Other electrical equipment and component manufacturing	5	T	836
1	335XXX	Electrical equipment, appliance, and component manufacturing	4	T	814
1	336111	Automobile manufacturing	7	T	852
1	336112	Light truck and utility vehicle manufacturing	7	T	853
1	33611X	Automobile and light duty motor vehicle manufacturing	6	T	851
1	3361XX	Motor vehicle manufacturing	5	T	850
1	336211	Motor vehicle body manufacturing	7	T	857
1	336212	Truck trailer manufacturing	7	T	858
1	33621X	Motor vehicle body and trailer manufacturing	6	T	856
1	3362XX	Motor vehicle body and trailer manufacturing	5	T	855
1	33631X	Motor vehicle gasoline engine and engine parts manufacturing	6	T	862
1	33636X	Motor vehicle seating and interior trim manufacturing	6	T	871
1	33639X	Other motor vehicle parts manufacturing	6	T	873
1	3363XX	Motor vehicle parts manufacturing	5	T	861
1	336411	Aircraft manufacturing	7	T	878
1	336412	Aircraft engine and engine parts manufacturing	7	T	879
1	33641X	Aerospace product and parts manufacturing	6	T	877
1	3364XX	Aerospace product and parts manufacturing	5	T	876
1	336611	Ship building and repairing	7	T	888
1	336612	Boat building	7	T	889
1	33661X	Ship and boat building	6	T	887
1	3366XX	Ship and boat building	5	T	886
1	336XXX	Transportation equipment manufacturing	4	T	849
1	33711X	Wood kitchen cabinet and countertop manufacturing	6	T	897
1	3371XX	Household and institutional furniture and kitchen cabinet manufacturing	5	T	896
1	337214	Office furniture (except wood) manufacturing	7	T	909
1	33721X	Office furniture (including fixtures) manufacturing	6	T	906
1	3372XX	Office furniture (including fixtures) manufacturing	5	T	905
1	33791X	Mattress manufacturing	6	T	912
1	3379XX	Other furniture related product manufacturing	5	T	911
1	337XXX	Furniture and related product manufacturing	4	T	895
1	339113	Surgical appliance and supplies manufacturing	7	T	919
1	33911X	Medical equipment and supplies manufacturing	6	T	916
1	3391XX	Medical equipment and supplies manufacturing	5	T	915
1	339911	Jewelry (except costume) manufacturing	7	T	925
1	33991X	Jewelry and silverware manufacturing	6	T	924
1	33992X	Sporting and athletic goods manufacturing	6	T	929
1	33995X	Sign manufacturing	6	T	938
1	339995	Burial casket manufacturing	7	T	944
1	33999X	All other miscellaneous manufacturing	6	T	939
1	3399XX	Other miscellaneous manufacturing	5	T	923
1	339XXX	Miscellaneous manufacturing	4	T	914
1	42311X	Automobile and other motor vehicle merchant wholesalers	6	T	968
1	42312X	Motor vehicle supplies and new parts merchant wholesalers	6	T	969
1	42313X	Tire and tube merchant wholesalers	6	T	970
1	42314X	Motor vehicle parts (used) merchant wholesalers	6	T	971
1	4231XX	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	5	T	967
1	42321X	Furniture merchant wholesalers	6	T	973
1	4232XX	Furniture and home furnishing merchant wholesalers	5	T	972
1	42331X	Lumber, plywood, millwork, and wood panel merchant wholesalers	6	T	976
1	42332X	Brick, stone, and related construction material merchant wholesalers	6	T	977
1	42333X	Roofing, siding, and insulation material merchant wholesalers	6	T	978
1	4233XX	Lumber and other construction materials merchant wholesalers	5	T	975
1	42342X	Office equipment merchant wholesalers	6	T	982
1	42345X	Medical, dental, and hospital equipment and supplies merchant wholesalers	6	T	985
1	42346X	Ophthalmic goods merchant wholesalers	6	T	986
1	4234XX	Professional and commercial equipment and supplies merchant wholesalers	5	T	980
1	42351X	Metal service centers and other metal merchant wholesalers	6	T	989
1	4235XX	Metal and mineral (except petroleum) merchant wholesalers	5	T	988
1	42361X	Electrical apparatus and equipment, wiring supplies, and related equipment merchant  wholesalers	6	T	992
1	4236XX	Electrical and electronic goods merchant wholesalers	5	T	991
1	42372X	Plumbing and heating equipment and supplies (hydronics) merchant wholesalers	6	T	997
1	42373X	Warm air heating and air-conditioning equipment and supplies merchant wholesalers	6	T	998
1	4237XX	Hardware, and plumbing and heating equipment and supplies merchant wholesalers	5	T	995
1	42381X	Construction and mining (except oil well) machinery and equipment merchant wholesalers	6	T	1001
1	42382X	Farm and garden machinery and equipment merchant wholesalers	6	T	1002
1	42383X	Industrial machinery and equipment merchant wholesalers	6	T	1003
1	42384X	Industrial supplies merchant wholesalers	6	T	1004
1	42385X	Service establishment equipment and supplies merchant wholesalers	6	T	1005
1	4238XX	Machinery, equipment, and supplies merchant wholesalers	5	T	1000
1	42393X	Recyclable material merchant wholesalers	6	T	1010
1	42394X	Jewelry, watch, precious stone, and precious metal merchant wholesalers	6	T	1011
1	4239XX	Miscellaneous durable goods merchant wholesalers	5	T	1007
1	423XXX	Merchant wholesalers, durable goods	4	T	966
1	42412X	Stationery and office supplies merchant wholesalers	6	T	1016
1	42413X	Industrial and personal service paper merchant wholesalers	6	T	1017
1	4241XX	Paper and paper product merchant wholesalers	5	T	1014
1	42421X	Drugs and druggists' sundries merchant wholesalers	6	T	1019
1	4242XX	Drugs and druggists' sundries merchant wholesalers	5	T	1018
1	42441X	General line grocery merchant wholesalers	6	T	1026
1	42442X	Packaged frozen food merchant wholesalers	6	T	1027
1	42443X	Dairy product (except dried or canned) merchant wholesalers	6	T	1028
1	42446X	Fish and seafood merchant wholesalers	6	T	1031
1	42448X	Fresh fruit and vegetable merchant wholesalers	6	T	1033
1	4244XX	Grocery and related product wholesalers	5	T	1025
1	42451X	Grain and field bean merchant wholesalers	6	T	1036
1	42452X	Livestock merchant wholesalers	6	T	1037
1	4245XX	Farm product raw material merchant wholesalers	5	T	1035
1	4246XX	Chemical and allied products merchant wholesalers	5	T	1039
1	42472X	Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals)	6	T	1044
1	4247XX	Petroleum and petroleum products merchant wholesalers	5	T	1042
1	42481X	Beer and ale merchant wholesalers	6	T	1046
1	4248XX	Beer, wine, and distilled alcoholic beverage merchant wholesalers	5	T	1045
1	42491X	Farm supplies merchant wholesalers	6	T	1049
1	42492X	Book, periodical, and newspaper merchant wholesalers	6	T	1050
1	42493X	Flower, nursery stock, and florists' supplies merchant wholesalers	6	T	1051
1	4249XX	Miscellaneous nondurable goods merchant wholesalers	5	T	1048
1	424XXX	Merchant wholesalers, nondurable goods	4	T	1013
1	42512X	Wholesale trade agents and brokers	6	T	1058
1	4251XX	Wholesale electronic markets and agents and brokers	5	T	1056
1	425XXX	Wholesale electronic markets and agents and brokers	4	T	1055
1	44111X	New car dealers	6	T	1062
1	44112X	Used car dealers	6	T	1063
1	4411XX	Automobile dealers	5	T	1061
1	44121X	Recreational vehicle dealers	6	T	1065
1	44122X	Motorcycle, boat, and other motor vehicle dealers	6	T	1066
1	4412XX	Other motor vehicle dealers	5	T	1064
1	44131X	Automotive parts and accessories stores	6	T	1071
1	44132X	Tire dealers	6	T	1072
1	4413XX	Automotive parts, accessories, and tire stores	5	T	1070
1	441XXX	Motor vehicle and parts dealers	4	T	1060
1	44211X	Furniture stores	6	T	1075
1	4421XX	Furniture stores	5	T	1074
1	44221X	Floor covering stores	6	T	1077
1	442291	Window treatment stores	7	T	1079
1	44229X	Other home furnishings stores	6	T	1078
1	4422XX	Home furnishings stores	5	T	1076
1	442XXX	Furniture and home furnishings stores	4	T	1073
1	443111	Household appliance stores	7	T	1084
